text,label
Wow! Aaj ka weather awesome hai id_285,positive
"Your content is always top notch, big fan sir! id_286",positive
Party toh banti hai ab toh 🥳 id_287,positive
Mera result bohot sahi aaya hai feeling blessed id_288,positive
Maza aa gaya kya item hai id_289,positive
Aaj ka din bohot acha tha yaar! id_290,positive
Mera Bhai tu toh kamal hai loved it id_291,positive
Dil khush ho gaya ye dekh kar! id_292,positive
Superb work team! keep rocking id_293,positive
Bahut badiya perform kiya tumne proud of you id_294,positive
Wow! Aaj ka weather awesome hai id_295,positive
"Your content is always top notch, big fan sir! id_296",positive
Party toh banti hai ab toh 🥳 id_297,positive
Mera result bohot sahi aaya hai feeling blessed id_298,positive
Maza aa gaya kya item hai id_299,positive
Aaj ka din bohot acha tha yaar! id_300,positive
Mera Bhai tu toh kamal hai loved it id_301,positive
Dil khush ho gaya ye dekh kar! id_302,positive
Superb work team! keep rocking id_303,positive
Bahut badiya perform kiya tumne proud of you id_304,positive
Wow! Aaj ka weather awesome hai id_305,positive
"Your content is always top notch, big fan sir! id_306",positive
Party toh banti hai ab toh 🥳 id_307,positive
Mera result bohot sahi aaya hai feeling blessed id_308,positive
Maza aa gaya kya item hai id_309,positive
Aaj ka din bohot acha tha yaar! id_310,positive
Mera Bhai tu toh kamal hai loved it id_311,positive
Dil khush ho gaya ye dekh kar! id_312,positive
Superb work team! keep rocking id_313,positive
Bahut badiya perform kiya tumne proud of you id_314,positive
Wow! Aaj ka weather awesome hai id_315,positive
"Your content is always top notch, big fan sir! id_316",positive
Party toh banti hai ab toh 🥳 id_317,positive
Mera result bohot sahi aaya hai feeling blessed id_318,positive
Maza aa gaya kya item hai id_319,positive
Aaj ka din bohot acha tha yaar! id_320,positive
Mera Bhai tu toh kamal hai loved it id_321,positive
Dil khush ho gaya ye dekh kar! id_322,positive
Superb work team! keep rocking id_323,positive
Bahut badiya perform kiya tumne proud of you id_324,positive
Wow! Aaj ka weather awesome hai id_325,positive
"Your content is always top notch, big fan sir! id_326",positive
Party toh banti hai ab toh 🥳 id_327,positive
Mera result bohot sahi aaya hai feeling blessed id_328,positive
Maza aa gaya kya item hai id_329,positive
Aaj ka din bohot acha tha yaar! id_330,positive
Mera Bhai tu toh kamal hai loved it id_331,positive
Dil khush ho gaya ye dekh kar! id_332,positive
Superb work team! keep rocking id_333,positive
Bahut badiya perform kiya tumne proud of you id_334,positive
Wow! Aaj ka weather awesome hai id_335,positive
"Your content is always top notch, big fan sir! id_336",positive
Party toh banti hai ab toh 🥳 id_337,positive
Mera result bohot sahi aaya hai feeling blessed id_338,positive
Maza aa gaya kya item hai id_339,positive
Aaj ka din bohot acha tha yaar! id_340,positive
Mera Bhai tu toh kamal hai loved it id_341,positive
Dil khush ho gaya ye dekh kar! id_342,positive
Superb work team! keep rocking id_343,positive
Bahut badiya perform kiya tumne proud of you id_344,positive
Wow! Aaj ka weather awesome hai id_345,positive
"Your content is always top notch, big fan sir! id_346",positive
Party toh banti hai ab toh 🥳 id_347,positive
Mera result bohot sahi aaya hai feeling blessed id_348,positive
Maza aa gaya kya item hai id_349,positive
Aaj ka din bohot acha tha yaar! id_350,positive
Mera Bhai tu toh kamal hai loved it id_351,positive
Dil khush ho gaya ye dekh kar! id_352,positive
Superb work team! keep rocking id_353,positive
Bahut badiya perform kiya tumne proud of you id_354,positive
Wow! Aaj ka weather awesome hai id_355,positive
"Your content is always top notch, big fan sir! id_356",positive
Party toh banti hai ab toh 🥳 id_357,positive
Mera result bohot sahi aaya hai feeling blessed id_358,positive
Maza aa gaya kya item hai id_359,positive
Aaj ka din bohot acha tha yaar! id_360,positive
Mera Bhai tu toh kamal hai loved it id_361,positive
Dil khush ho gaya ye dekh kar! id_362,positive
Superb work team! keep rocking id_363,positive
Bahut badiya perform kiya tumne proud of you id_364,positive
Wow! Aaj ka weather awesome hai id_365,positive
"Your content is always top notch, big fan sir! id_366",positive
Party toh banti hai ab toh 🥳 id_367,positive
Mera result bohot sahi aaya hai feeling blessed id_368,positive
Maza aa gaya kya item hai id_369,positive
Aaj ka din bohot acha tha yaar! id_370,positive
Mera Bhai tu toh kamal hai loved it id_371,positive
Dil khush ho gaya ye dekh kar! id_372,positive
Superb work team! keep rocking id_373,positive
Bahut badiya perform kiya tumne proud of you id_374,positive
Wow! Aaj ka weather awesome hai id_375,positive
"Your content is always top notch, big fan sir! id_376",positive
Party toh banti hai ab toh 🥳 id_377,positive
Mera result bohot sahi aaya hai feeling blessed id_378,positive
Maza aa gaya kya item hai id_379,positive
Aaj ka din bohot acha tha yaar! id_380,positive
Mera Bhai tu toh kamal hai loved it id_381,positive
Dil khush ho gaya ye dekh kar! id_382,positive
Superb work team! keep rocking id_383,positive
Bahut badiya perform kiya tumne proud of you id_384,positive
Wow! Aaj ka weather awesome hai id_385,positive
"Your content is always top notch, big fan sir! id_386",positive
Party toh banti hai ab toh 🥳 id_387,positive
Mera result bohot sahi aaya hai feeling blessed id_388,positive
Maza aa gaya kya item hai id_389,positive
Aaj ka din bohot acha tha yaar! id_390,positive
Mera Bhai tu toh kamal hai loved it id_391,positive
Dil khush ho gaya ye dekh kar! id_392,positive
Superb work team! keep rocking id_393,positive
Bahut badiya perform kiya tumne proud of you id_394,positive
Wow! Aaj ka weather awesome hai id_395,positive
"Your content is always top notch, big fan sir! id_396",positive
Party toh banti hai ab toh 🥳 id_397,positive
Mera result bohot sahi aaya hai feeling blessed id_398,positive
Maza aa gaya kya item hai id_399,positive
Aaj ka din bohot acha tha yaar! id_400,positive
Mera Bhai tu toh kamal hai loved it id_401,positive
Dil khush ho gaya ye dekh kar! id_402,positive
Superb work team! keep rocking id_403,positive
Bahut badiya perform kiya tumne proud of you id_404,positive
Wow! Aaj ka weather awesome hai id_405,positive
"Your content is always top notch, big fan sir! id_406",positive
Party toh banti hai ab toh 🥳 id_407,positive
Mera result bohot sahi aaya hai feeling blessed id_408,positive
Maza aa gaya kya item hai id_409,positive
Aaj ka din bohot acha tha yaar! id_410,positive
Mera Bhai tu toh kamal hai loved it id_411,positive
Dil khush ho gaya ye dekh kar! id_412,positive
Superb work team! keep rocking id_413,positive
Bahut badiya perform kiya tumne proud of you id_414,positive
Wow! Aaj ka weather awesome hai id_415,positive
"Your content is always top notch, big fan sir! id_416",positive
Party toh banti hai ab toh 🥳 id_417,positive
Mera result bohot sahi aaya hai feeling blessed id_418,positive
Maza aa gaya kya item hai id_419,positive
Aaj ka din bohot acha tha yaar! id_420,positive
Mera Bhai tu toh kamal hai loved it id_421,positive
Dil khush ho gaya ye dekh kar! id_422,positive
Superb work team! keep rocking id_423,positive
Bahut badiya perform kiya tumne proud of you id_424,positive
Wow! Aaj ka weather awesome hai id_425,positive
"Your content is always top notch, big fan sir! id_426",positive
Party toh banti hai ab toh 🥳 id_427,positive
Mera result bohot sahi aaya hai feeling blessed id_428,positive
Maza aa gaya kya item hai id_429,positive
Aaj ka din bohot acha tha yaar! id_430,positive
Mera Bhai tu toh kamal hai loved it id_431,positive
Dil khush ho gaya ye dekh kar! id_432,positive
Superb work team! keep rocking id_433,positive
Bahut badiya perform kiya tumne proud of you id_434,positive
Wow! Aaj ka weather awesome hai id_435,positive
"Your content is always top notch, big fan sir! id_436",positive
Party toh banti hai ab toh 🥳 id_437,positive
Mera result bohot sahi aaya hai feeling blessed id_438,positive
Maza aa gaya kya item hai id_439,positive
Aaj ka din bohot acha tha yaar! id_440,positive
Mera Bhai tu toh kamal hai loved it id_441,positive
Dil khush ho gaya ye dekh kar! id_442,positive
Superb work team! keep rocking id_443,positive
Bahut badiya perform kiya tumne proud of you id_444,positive
Wow! Aaj ka weather awesome hai id_445,positive
"Your content is always top notch, big fan sir! id_446",positive
Party toh banti hai ab toh 🥳 id_447,positive
Mera result bohot sahi aaya hai feeling blessed id_448,positive
Maza aa gaya kya item hai id_449,positive
Aaj ka din bohot acha tha yaar! id_450,positive
Mera Bhai tu toh kamal hai loved it id_451,positive
Dil khush ho gaya ye dekh kar! id_452,positive
Superb work team! keep rocking id_453,positive
Bahut badiya perform kiya tumne proud of you id_454,positive
Wow! Aaj ka weather awesome hai id_455,positive
"Your content is always top notch, big fan sir! id_456",positive
Party toh banti hai ab toh 🥳 id_457,positive
Mera result bohot sahi aaya hai feeling blessed id_458,positive
Maza aa gaya kya item hai id_459,positive
Aaj ka din bohot acha tha yaar! id_460,positive
Mera Bhai tu toh kamal hai loved it id_461,positive
Dil khush ho gaya ye dekh kar! id_462,positive
Superb work team! keep rocking id_463,positive
Bahut badiya perform kiya tumne proud of you id_464,positive
Wow! Aaj ka weather awesome hai id_465,positive
"Your content is always top notch, big fan sir! id_466",positive
Party toh banti hai ab toh 🥳 id_467,positive
Mera result bohot sahi aaya hai feeling blessed id_468,positive
Maza aa gaya kya item hai id_469,positive
Aaj ka din bohot acha tha yaar! id_470,positive
Mera Bhai tu toh kamal hai loved it id_471,positive
Dil khush ho gaya ye dekh kar! id_472,positive
Superb work team! keep rocking id_473,positive
Bahut badiya perform kiya tumne proud of you id_474,positive
Wow! Aaj ka weather awesome hai id_475,positive
"Your content is always top notch, big fan sir! id_476",positive
Party toh banti hai ab toh 🥳 id_477,positive
Mera result bohot sahi aaya hai feeling blessed id_478,positive
Maza aa gaya kya item hai id_479,positive
Aaj ka din bohot acha tha yaar! id_480,positive
Mera Bhai tu toh kamal hai loved it id_481,positive
Dil khush ho gaya ye dekh kar! id_482,positive
Superb work team! keep rocking id_483,positive
Bahut badiya perform kiya tumne proud of you id_484,positive
Wow! Aaj ka weather awesome hai id_485,positive
"Your content is always top notch, big fan sir! id_486",positive
Party toh banti hai ab toh 🥳 id_487,positive
Mera result bohot sahi aaya hai feeling blessed id_488,positive
Maza aa gaya kya item hai id_489,positive
Aaj ka din bohot acha tha yaar! id_490,positive
Mera Bhai tu toh kamal hai loved it id_491,positive
Dil khush ho gaya ye dekh kar! id_492,positive
Superb work team! keep rocking id_493,positive
Bahut badiya perform kiya tumne proud of you id_494,positive
Wow! Aaj ka weather awesome hai id_495,positive
"Your content is always top notch, big fan sir! id_496",positive
Party toh banti hai ab toh 🥳 id_497,positive
Mera result bohot sahi aaya hai feeling blessed id_498,positive
Maza aa gaya kya item hai id_499,positive
Not good... 😒 id_0,negative
यह अच्छा नहीं है id_1,negative
lol 😂😂 that's bad id_2,negative
Bohot hi ganda experience tha maza nahi aaya id_3,negative
Bilkul bekar service hai waste of money id_4,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_5,negative
Aisa behave nahi karna chahiye tha worst behavior id_6,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_7,negative
Fraud company h paise loot liye mere id_8,negative
Khatarnak ganda taste tha breaks my heart truly id_9,negative
Not good... 😒 id_10,negative
यह अच्छा नहीं है id_11,negative
lol 😂😂 that's bad id_12,negative
Bohot hi ganda experience tha maza nahi aaya id_13,negative
Bilkul bekar service hai waste of money id_14,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_15,negative
Aisa behave nahi karna chahiye tha worst behavior id_16,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_17,negative
Fraud company h paise loot liye mere id_18,negative
Khatarnak ganda taste tha breaks my heart truly id_19,negative
Not good... 😒 id_20,negative
यह अच्छा नहीं है id_21,negative
lol 😂😂 that's bad id_22,negative
Bohot hi ganda experience tha maza nahi aaya id_23,negative
Bilkul bekar service hai waste of money id_24,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_25,negative
Aisa behave nahi karna chahiye tha worst behavior id_26,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_27,negative
Fraud company h paise loot liye mere id_28,negative
Khatarnak ganda taste tha breaks my heart truly id_29,negative
Not good... 😒 id_30,negative
यह अच्छा नहीं है id_31,negative
lol 😂😂 that's bad id_32,negative
Bohot hi ganda experience tha maza nahi aaya id_33,negative
Bilkul bekar service hai waste of money id_34,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_35,negative
Aisa behave nahi karna chahiye tha worst behavior id_36,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_37,negative
Fraud company h paise loot liye mere id_38,negative
Khatarnak ganda taste tha breaks my heart truly id_39,negative
Not good... 😒 id_40,negative
यह अच्छा नहीं है id_41,negative
lol 😂😂 that's bad id_42,negative
Bohot hi ganda experience tha maza nahi aaya id_43,negative
Bilkul bekar service hai waste of money id_44,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_45,negative
Aisa behave nahi karna chahiye tha worst behavior id_46,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_47,negative
Fraud company h paise loot liye mere id_48,negative
Khatarnak ganda taste tha breaks my heart truly id_49,negative
Not good... 😒 id_50,negative
यह अच्छा नहीं है id_51,negative
lol 😂😂 that's bad id_52,negative
Bohot hi ganda experience tha maza nahi aaya id_53,negative
Bilkul bekar service hai waste of money id_54,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_55,negative
Aisa behave nahi karna chahiye tha worst behavior id_56,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_57,negative
Fraud company h paise loot liye mere id_58,negative
Khatarnak ganda taste tha breaks my heart truly id_59,negative
Not good... 😒 id_60,negative
यह अच्छा नहीं है id_61,negative
lol 😂😂 that's bad id_62,negative
Bohot hi ganda experience tha maza nahi aaya id_63,negative
Bilkul bekar service hai waste of money id_64,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_65,negative
Aisa behave nahi karna chahiye tha worst behavior id_66,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_67,negative
Fraud company h paise loot liye mere id_68,negative
Khatarnak ganda taste tha breaks my heart truly id_69,negative
Not good... 😒 id_70,negative
यह अच्छा नहीं है id_71,negative
lol 😂😂 that's bad id_72,negative
Bohot hi ganda experience tha maza nahi aaya id_73,negative
Bilkul bekar service hai waste of money id_74,negative
Mood kharab kar diya tumne bilkul achha nahi laga id_75,negative
Aisa behave nahi karna chahiye tha worst behavior id_76,negative
Server itna slow kyu chal raha hai dimag kharab ho gaya id_77,negative
Fraud company h paise loot liye mere id_78,negative
Khatarnak ganda taste tha breaks my heart truly id_79,negative
Not good... 😒 id_80,negative
यह अच्छा नहीं है id_81,negative
lol 😂😂 that's bad id_82,negative
Bohot hi ganda experience tha maza nahi aaya id_83,negative
